Date,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount ,Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used
2023/3/9,SC-20770,38,Male,Jacket,Outerwear,96,Jiangsu,M,Olive,Spring,2.6,Yes,Yes,Yes
2023/11/24,SC-20770,19,Male,Sandals,Footwear,72,Guangxi,XL,Blue,Fall,3.3,Yes,Yes,Yes
2023/11/12,DN-13690,67,Male,Shoes,Footwear,96,Shaanxi,L,Maroon,Fall,2.6,Yes,Yes,Yes
2023/1/16,DN-13690,19,Male,Pants,Clothing,28,Liaoning,S,Olive,Winter,4,Yes,Yes,Yes
2023/9/9,JC-16105,36,Male,Dress,Clothing,40,Shandong,M,Turquoise,Fall,4.1,Yes,Yes,Yes
2023/6/16,CS-12400,52,Male,Coat,Outerwear,32,Sichuan,S,Peach,Summer,4.4,Yes,Yes,Yes
2023/8/2,PO-18865,53,Male,Sunglasses,Accessories,95,Shaanxi,M,Charcoal,Summer,4.5,Yes,Yes,Yes
2023/4/25,PG-18895,24,Male,Hoodie,Clothing,41,Guizhou,L,Pink,Spring,3.7,Yes,Yes,Yes
2023/4/21,PG-18895,52,Male,Shoes,Footwear,53,Yunnan,M,Green,Spring,3.7,Yes,Yes,Yes
2023/12/1,GM-14455,33,Male,T-shirt,Clothing,47,Shaanxi,M,Orange,Winter,3.5,Yes,Yes,Yes
2023/5/28,JS-15685,47,Male,Jacket,Outerwear,83,Jiangsu,XL,Pink,Spring,3.6,Yes,Yes,Yes
2023/8/29,JS-15685,25,Male,Hat,Accessories,48,Yunnan,L,Violet,Summer,2.9,Yes,Yes,Yes
2023/5/26,JS-15685,44,Male,Scarf,Accessories,99,Fujian,S,Green,Spring,4.6,Yes,Yes,Yes
2023/6/1,KB-16315,61,Male,Jacket,Outerwear,87,Guangdong,M,Olive,Summer,4.4,Yes,Yes,Yes
2023/2/10,KB-16315,37,Male,Sweater,Clothing,62,Henan,M,Purple,Winter,4.5,Yes,Yes,Yes
2023/9/13,KB-16315,58,Male,Skirt,Clothing,76,Guangdong,S,Silver,Fall,4.6,Yes,Yes,Yes
2023/10/27,RB-19705,37,Male,Sneakers,Footwear,100,Sichuan,L,Pink,Fall,3.8,Yes,Yes,Yes
2023/6/1,PN-18775,32,Male,Gloves,Accessories,73,Tianjin,S,Gold,Summer,3.6,Yes,Yes,Yes
2023/3/28,KD-16345,21,Male,Shoes,Footwear,92,Zhejiang,M,Teal,Spring,4.8,Yes,Yes,Yes
2023/9/13,ER-13855,20,Male,Jeans,Clothing,67,Chongqing,XL,Teal,Fall,2.6,Yes,Yes,Yes
2023/10/16,RB-19465,26,Male,Hoodie,Clothing,40,Sichuan,XL,Indigo,Fall,3.7,Yes,Yes,Yes
2023/12/24,RB-19465,62,Male,Sunglasses,Accessories,98,Zhejiang,M,Maroon,Winter,2.7,Yes,Yes,Yes
2023/9/16,RB-19465,27,Male,Coat,Outerwear,85,Anhui,XL,White,Fall,4.6,Yes,Yes,Yes
2023/12/13,GZ-14470,51,Male,Socks,Clothing,67,Beijing,L,Violet,Winter,4.8,Yes,Yes,Yes
2023/5/28,LC-16870,54,Male,Boots,Footwear,89,Anhui,L,Red,Spring,4,Yes,Yes,Yes
2023/11/19,LC-16870,55,Male,Sunglasses,Accessories,24,Anhui,L,Pink,Fall,4.4,Yes,Yes,Yes
2023/4/26,LC-16870,69,Male,Backpack,Accessories,96,Jiangsu,M,Charcoal,Spring,3.6,Yes,Yes,Yes
2023/7/7,JM-15250,64,Male,Jacket,Outerwear,35,Hunan,L,White,Summer,3.7,Yes,Yes,Yes
2023/8/23,JM-15250,28,Male,Sneakers,Footwear,67,Hunan,L,Olive,Summer,3.1,Yes,Yes,Yes
2023/6/4,JM-15250,70,Male,Socks,Clothing,79,Sichuan,L,Purple,Summer,3.4,Yes,Yes,Yes
2023/5/14,PA-19060,58,Male,T-shirt,Clothing,85,Tianjin,M,Violet,Spring,2.6,Yes,Yes,Yes
2023/12/17,CV-12805,56,Male,Backpack,Accessories,26,Beijing,M,Black,Winter,4,Yes,Yes,Yes
2023/8/13,CL-12565,26,Male,Belt,Accessories,75,Shandong,L,Purple,Summer,5,Yes,Yes,Yes
2023/2/18,CL-12565,37,Male,Gloves,Accessories,65,Gansu,M,Red,Winter,4.3,Yes,Yes,Yes
2023/3/2,RC-19960,44,Male,Hat,Accessories,54,Shandong,L,Maroon,Spring,3.1,Yes,Yes,Yes
2023/5/11,RC-19960,70,Male,Coat,Outerwear,95,Tianjin,S,Blue,Spring,3.7,Yes,Yes,Yes
2023/7/17,RC-19960,53,Male,Skirt,Clothing,94,Henan,M,Gray,Summer,3.8,Yes,Yes,Yes
2023/9/9,RC-19960,55,Male,Shoes,Footwear,86,Shaanxi,S,Blue,Fall,3.4,Yes,Yes,Yes
2023/3/13,DK-13090,50,Male,Sandals,Footwear,32,Shandong,L,Yellow,Spring,4.6,Yes,Yes,Yes
2023/12/18,GG-14650,50,Male,Sweater,Clothing,45,Shanghai,L,Orange,Winter,4.8,Yes,Yes,Yes
2023/11/23,SC-20725,38,Male,Coat,Outerwear,76,Jiangsu,M,Orange,Fall,4.3,Yes,Yes,Yes
2023/8/27,SC-20725,64,Male,Hat,Accessories,84,Guangxi,L,Red,Summer,4,Yes,Yes,Yes
2023/10/23,SC-20725,19,Male,Shorts,Clothing,72,Chongqing,M,Olive,Fall,4.2,Yes,Yes,Yes
2023/5/29,SC-20725,40,Male,Backpack,Accessories,40,Zhejiang,L,Brown,Spring,4.8,Yes,Yes,Yes
2023/2/7,SC-20725,57,Male,Sweater,Clothing,89,InnerMongolia,L,Brown,Winter,3.1,Yes,Yes,Yes
2023/3/30,AD-10180,44,Male,Sweater,Clothing,86,Hubei,M,Gray,Spring,3.1,Yes,Yes,Yes
2023/8/14,PF-19165,49,Male,Shorts,Clothing,54,Zhejiang,M,Indigo,Summer,3.6,Yes,Yes,Yes
2023/6/13,TS-21610,43,Male,Shorts,Clothing,36,Shandong,L,Pink,Summer,3.9,Yes,Yes,Yes
2023/11/4,TS-21610,24,Male,Sweater,Clothing,89,Guizhou,M,Gray,Fall,4.8,Yes,Yes,Yes
2023/8/22,LS-16975,20,Male,Scarf,Accessories,32,Shanxi,M,Gold,Summer,4.7,Yes,Yes,Yes
2023/1/7,LS-16975,24,Male,Dress,Clothing,67,Shandong,XL,Olive,Winter,4.2,Yes,Yes,Yes
2023/7/20,DW-13585,44,Male,Scarf,Accessories,39,Chongqing,L,Violet,Summer,3.7,Yes,Yes,Yes
2023/11/28,DW-13585,28,Male,Skirt,Clothing,29,Shanghai,L,Indigo,Fall,3.9,Yes,Yes,Yes
2023/12/11,DW-13585,30,Male,Backpack,Accessories,58,Liaoning,M,Orange,Winter,4.7,Yes,Yes,Yes
2023/10/31,LC-16885,52,Male,Sweater,Clothing,65,Sichuan,M,Violet,Fall,2.5,Yes,Yes,Yes
2023/6/26,LC-16885,43,Male,Hat,Accessories,94,Shandong,L,Gray,Summer,4.9,Yes,Yes,Yes
2023/12/1,LC-16885,43,Male,Sandals,Footwear,81,Hunan,M,Purple,Winter,4.1,Yes,Yes,Yes
2023/3/15,LC-16885,39,Male,Blouse,Clothing,86,Heilongjiang,M,White,Spring,3.3,Yes,Yes,Yes
2023/6/4,LC-16885,68,Male,Sneakers,Footwear,43,Guangdong,M,Turquoise,Summer,4.7,Yes,Yes,Yes
2023/9/9,LC-16885,68,Male,Skirt,Clothing,29,Fujian,M,Maroon,Fall,4.4,Yes,Yes,Yes
2023/7/30,LC-16885,49,Male,Coat,Outerwear,95,Hebei,M,White,Summer,3.8,Yes,Yes,Yes
2023/11/8,JD-15895,63,Male,Shirt,Clothing,28,Henan,L,Yellow,Fall,3.9,Yes,Yes,Yes
2023/9/26,SH-19975,56,Male,Gloves,Accessories,46,Jiangsu,M,Turquoise,Fall,4.9,Yes,Yes,Yes
2023/8/20,SH-19975,37,Male,Jacket,Outerwear,58,Zhejiang,L,Violet,Summer,3.1,Yes,Yes,Yes
2023/7/15,SH-19975,30,Male,Coat,Outerwear,48,Liaoning,M,Beige,Summer,2.7,Yes,Yes,Yes
2023/8/29,SG-20080,19,Male,Shoes,Footwear,43,Beijing,M,Silver,Summer,3.2,Yes,Yes,Yes
2023/6/14,HA-14920,24,Male,Jewelry,Accessories,95,Hebei,M,Teal,Summer,4.5,Yes,Yes,Yes
2023/9/15,MG-17680,52,Male,Skirt,Clothing,30,Jiangxi,S,Black,Fall,4,Yes,Yes,Yes
2023/8/18,JE-16165,63,Male,Shoes,Footwear,64,Guangxi,M,Purple,Summer,3.5,Yes,Yes,Yes
2023/4/8,JE-16165,37,Male,Gloves,Accessories,90,Shaanxi,M,Gray,Spring,2.6,Yes,Yes,Yes
2023/12/24,JE-16165,38,Male,Pants,Clothing,76,Shaanxi,M,White,Winter,3.2,Yes,Yes,Yes
2023/8/24,JE-16165,35,Male,Boots,Footwear,96,Beijing,L,Cyan,Summer,4.9,Yes,Yes,Yes
2023/12/28,TW-21025,28,Male,Sunglasses,Accessories,47,Tianjin,L,Turquoise,Winter,4.5,Yes,Yes,Yes
2023/5/6,TW-21025,30,Male,Shirt,Clothing,85,Jiangsu,S,Brown,Spring,4.3,Yes,Yes,Yes
2023/6/18,SP-20650,69,Male,Hoodie,Clothing,55,Zhejiang,M,Maroon,Summer,3.2,Yes,Yes,Yes
2023/6/2,SP-20650,41,Male,Dress,Clothing,98,Hunan,M,Charcoal,Summer,3.6,Yes,Yes,Yes
2023/1/11,SP-20650,63,Male,Socks,Clothing,77,Guangdong,S,Olive,Winter,4.3,Yes,Yes,Yes
2023/1/23,NK-18490,35,Male,Shorts,Clothing,26,Jiangxi,M,Lavender,Winter,4,Yes,Yes,Yes
2023/6/24,DB-13060,36,Male,Hat,Accessories,68,Anhui,S,Yellow,Summer,3,Yes,Yes,Yes
2023/12/3,NP-18670,25,Male,Shirt,Clothing,73,Beijing,XL,Teal,Winter,4.1,Yes,Yes,Yes
2023/12/31,NP-18670,58,Male,Gloves,Accessories,27,Beijing,M,Charcoal,Winter,3.8,Yes,Yes,Yes
2023/11/22,TT-21070,27,Male,Gloves,Accessories,23,Shandong,M,Orange,Fall,4.6,Yes,Yes,Yes
2023/7/23,EM-13960,65,Male,Backpack,Accessories,49,Tianjin,M,Olive,Summer,3,Yes,Yes,Yes
2023/8/6,RD-19900,54,Male,Sunglasses,Accessories,74,Chongqing,M,Turquoise,Summer,3,Yes,Yes,Yes
2023/12/20,MJ-17740,54,Male,Skirt,Clothing,67,Hainan,M,Purple,Winter,3.4,Yes,Yes,Yes
2023/4/24,BM-11140,59,Male,Handbag,Accessories,65,Guizhou,S,Purple,Spring,2.6,Yes,Yes,Yes
2023/8/22,BM-11140,42,Male,Handbag,Accessories,60,Ningxia,S,Yellow,Summer,2.8,Yes,Yes,Yes
2023/11/6,BM-11140,46,Male,Sneakers,Footwear,31,Shaanxi,XL,Indigo,Fall,4,Yes,Yes,Yes
2023/6/15,BM-11140,33,Male,Gloves,Accessories,27,Hebei,M,Green,Summer,4,Yes,Yes,Yes
2023/7/20,BM-11140,34,Male,Shoes,Footwear,80,Jiangsu,M,Magenta,Summer,3,Yes,Yes,Yes
2023/11/6,BM-11140,27,Male,Jacket,Outerwear,30,Shanghai,S,Gold,Fall,3.3,Yes,Yes,Yes
2023/6/20,BM-11140,52,Male,Shirt,Clothing,25,Guangdong,M,Maroon,Summer,2.6,Yes,Yes,Yes
2023/3/2,CS-12130,29,Male,Shorts,Clothing,35,Shandong,M,Blue,Spring,3.6,Yes,Yes,Yes
2023/12/23,CS-12130,54,Male,Jewelry,Accessories,67,Shanghai,M,Violet,Winter,3.9,Yes,Yes,Yes
2023/7/17,CS-12130,25,Male,Hat,Accessories,46,Fujian,M,Turquoise,Summer,3.4,Yes,Yes,Yes
2023/6/21,JB-15400,41,Male,Shoes,Footwear,35,Shanxi,L,Brown,Summer,3.5,Yes,Yes,Yes
2023/6/24,JB-15400,53,Male,Coat,Outerwear,86,Zhejiang,L,Violet,Summer,2.8,Yes,Yes,Yes
2023/8/10,SJ-20500,53,Male,Backpack,Accessories,81,Shanghai,L,Black,Summer,2.7,Yes,Yes,Yes
2023/6/4,JE-15745,21,Male,Hoodie,Clothing,42,Chongqing,L,Magenta,Summer,3.7,Yes,Yes,Yes
2023/5/4,JE-15745,61,Male,Skirt,Clothing,43,Shaanxi,L,Lavender,Spring,4.3,Yes,Yes,Yes
2023/4/21,JK-15640,64,Male,Boots,Footwear,31,Beijing,M,Violet,Spring,4.9,Yes,Yes,Yes
2023/7/20,DK-13150,51,Male,Sandals,Footwear,81,Anhui,L,Green,Summer,3.3,Yes,Yes,Yes
2023/8/18,DK-13150,32,Male,Pants,Clothing,61,Henan,M,Beige,Summer,4.7,Yes,Yes,Yes
2023/4/20,RM-19675,38,Male,Gloves,Accessories,96,Liaoning,XL,Purple,Spring,2.8,Yes,Yes,Yes
2023/3/23,RM-19675,58,Male,Skirt,Clothing,29,Zhejiang,XL,Beige,Spring,3.6,Yes,Yes,Yes
2023/8/15,RM-19675,32,Male,Sneakers,Footwear,33,Beijing,L,Cyan,Summer,3,Yes,Yes,Yes
2023/11/4,SK-19990,46,Male,T-shirt,Clothing,32,Liaoning,XL,Silver,Fall,4.5,Yes,Yes,Yes
2023/10/24,FM-14290,39,Male,Backpack,Accessories,56,Hainan,S,Lavender,Fall,2.9,Yes,Yes,Yes
2023/2/2,AM-10360,19,Male,Shoes,Footwear,94,Fujian,S,Purple,Winter,3.3,Yes,Yes,Yes
2023/11/11,AM-10360,50,Male,Hoodie,Clothing,53,Fujian,M,Pink,Fall,3.1,Yes,Yes,Yes
2023/10/24,MP-17470,36,Male,Blouse,Clothing,82,Shandong,M,Maroon,Fall,4.4,Yes,Yes,Yes
2023/9/7,MP-17470,65,Male,Coat,Outerwear,70,Chongqing,XL,Beige,Fall,3,Yes,Yes,Yes
2023/9/26,MP-17470,64,Male,Hat,Accessories,76,Shanghai,M,Gray,Fall,3.9,Yes,Yes,Yes
2023/11/17,MP-17470,46,Male,Shoes,Footwear,29,Tianjin,L,Turquoise,Fall,2.9,Yes,Yes,Yes
2023/7/15,MP-17470,36,Male,Belt,Accessories,100,Jiangsu,S,Silver,Summer,3,Yes,Yes,Yes
2023/2/14,MZ-17515,51,Male,Backpack,Accessories,94,Guangdong,M,Olive,Winter,3.1,Yes,Yes,Yes
2023/1/4,CB-12025,51,Male,Jacket,Outerwear,25,Hubei,M,Magenta,Winter,4.3,Yes,Yes,Yes
2023/5/22,CB-12025,38,Male,Boots,Footwear,88,Shaanxi,M,Lavender,Spring,3.9,Yes,Yes,Yes
2023/10/19,VM-21685,59,Male,Scarf,Accessories,78,Hunan,M,Black,Fall,3.2,Yes,Yes,Yes
2023/8/17,FH-14365,57,Male,Jewelry,Accessories,45,Liaoning,M,Turquoise,Summer,4.8,Yes,Yes,Yes
2023/3/6,FH-14365,54,Male,Hat,Accessories,73,Shanghai,XL,Green,Spring,3.8,Yes,Yes,Yes
2023/6/19,MB-17305,25,Male,Dress,Clothing,61,Hunan,S,Teal,Summer,3.3,Yes,Yes,Yes
2023/8/20,BS-11755,69,Male,Blouse,Clothing,22,Anhui,S,Beige,Summer,4.3,Yes,Yes,Yes
2023/4/18,BS-11755,57,Male,Hat,Accessories,38,Beijing,L,Magenta,Spring,2.7,Yes,Yes,Yes
2023/12/30,LC-17140,70,Male,Scarf,Accessories,38,Shanghai,S,Yellow,Winter,3.2,Yes,Yes,Yes
2023/2/12,HK-14890,24,Male,Sneakers,Footwear,100,Guangdong,M,Yellow,Winter,4,Yes,Yes,Yes
2023/1/3,LE-16810,67,Male,Shirt,Clothing,64,Zhejiang,M,Silver,Winter,3,Yes,Yes,Yes
2023/6/24,JH-15985,24,Male,T-shirt,Clothing,55,Anhui,L,Silver,Summer,4.2,Yes,Yes,Yes
2023/4/23,JH-15985,62,Male,Gloves,Accessories,91,Hunan,M,Silver,Spring,2.9,Yes,Yes,Yes
2023/1/2,JH-15985,57,Male,Skirt,Clothing,38,Zhejiang,M,Gold,Winter,4.1,Yes,Yes,Yes
2023/2/28,JH-15985,55,Male,Sandals,Footwear,97,Beijing,S,Olive,Winter,3.2,Yes,Yes,Yes
2023/8/22,JH-15985,45,Male,Jacket,Outerwear,22,Zhejiang,L,Teal,Summer,3,Yes,Yes,Yes
2023/1/29,MS-17980,69,Male,Skirt,Clothing,92,Shandong,L,Maroon,Winter,4.2,Yes,Yes,Yes
2023/4/29,VW-21775,67,Male,Handbag,Accessories,84,Qinghai,L,Blue,Spring,4.2,Yes,Yes,Yes
2023/3/8,VW-21775,30,Male,Handbag,Accessories,93,Guangdong,L,Peach,Spring,4.4,Yes,Yes,Yes
2023/7/21,VW-21775,24,Male,Jacket,Outerwear,50,Anhui,L,Blue,Summer,4.2,Yes,Yes,Yes
2023/11/7,VW-21775,62,Male,Scarf,Accessories,64,Beijing,S,Orange,Fall,2.8,Yes,Yes,Yes
2023/12/12,VW-21775,43,Male,Shorts,Clothing,61,Hainan,L,Yellow,Winter,3.7,Yes,Yes,Yes
2023/6/13,JH-15910,35,Male,Sunglasses,Accessories,48,Sichuan,M,Purple,Summer,3.5,Yes,Yes,Yes
2023/9/20,JH-15910,28,Male,T-shirt,Clothing,45,Guangxi,S,Magenta,Fall,2.9,Yes,Yes,Yes
2023/9/3,JB-15925,32,Male,Belt,Accessories,88,Hubei,M,Cyan,Fall,3,Yes,Yes,Yes
2023/7/4,JB-15925,39,Male,Sneakers,Footwear,57,Fujian,S,Indigo,Summer,3.7,Yes,Yes,Yes
2023/10/16,JB-15925,28,Male,Hat,Accessories,68,Shanghai,XL,Magenta,Fall,4.4,Yes,Yes,Yes
2023/7/1,JB-15925,47,Male,Gloves,Accessories,94,Jiangsu,XL,Gray,Summer,4.5,Yes,Yes,Yes
